8, 6, 12, pa2-debug-f-optpivot.txt
    3.80,     8.41, -1499.97
    3.42,     7.57, -1349.97
    3.49,   158.41, -1499.13
    3.11,   157.57, -1349.13
  153.80,     8.72, -1499.59
  153.42,     7.87, -1349.59
  153.49,   158.71, -1498.75
  153.11,   157.87, -1348.75
  412.18,   428.90, -1338.58
  438.22,   458.18, -1369.64
  464.26,   487.46, -1400.71
  438.15,   446.92, -1299.83
  464.19,   476.20, -1330.90
  490.22,   505.47, -1361.96
   13.59,   -11.13, -1499.90
   12.23,   -10.02, -1349.91
   12.99,   138.86, -1501.02
   11.63,   139.98, -1351.03
  163.58,   -10.52, -1498.54
  162.22,    -9.41, -1348.55
  162.98,   139.47, -1499.66
  161.62,   140.58, -1349.67
  408.43,   444.40, -1269.78
  415.84,   493.74, -1273.03
  423.25,   543.08, -1276.28
  419.92,   439.49, -1318.19
  427.34,   488.83, -1321.44
  434.75,   538.17, -1324.69
   -9.27,    -1.71, -1499.97
   -8.35,    -1.54, -1349.97
   -7.86,   148.28, -1500.15
   -6.94,   148.45, -1350.15
  140.72,    -3.12, -1500.90
  141.64,    -2.95, -1350.90
  142.13,   146.87, -1501.08
  143.05,   147.04, -1351.08
  339.39,   400.64, -1311.12
  290.30,   406.01, -1303.24
  241.22,   411.37, -1295.36
  347.33,   400.82, -1261.76
  298.25,   406.18, -1253.88
  249.17,   411.55, -1245.99
    3.33,   -14.92, -1499.92
    3.00,   -13.43, -1349.93
    4.63,   135.06, -1501.41
    4.30,   136.56, -1351.42
  153.32,   -16.22, -1499.58
  152.99,   -14.73, -1349.58
  154.63,   133.76, -1501.07
  154.30,   135.26, -1351.07
  399.07,   356.97, -1245.79
  402.11,   353.64, -1196.00
  405.15,   350.32, -1146.20
  413.04,   404.92, -1243.44
  416.08,   401.59, -1193.65
  419.12,   398.27, -1143.85
   12.11,    -9.09, -1499.92
   10.90,    -8.18, -1349.93
   11.48,   140.91, -1500.84
   10.26,   141.82, -1350.85
  162.11,    -8.44, -1498.72
  160.90,    -7.53, -1348.72
  161.47,   141.55, -1499.63
  160.26,   142.46, -1349.64
  418.99,   401.95, -1344.30
  448.40,   395.78, -1384.27
  477.81,   389.61, -1424.23
  450.61,   374.64, -1316.83
  480.01,   368.47, -1356.79
  509.42,   362.30, -1396.76
   13.84,    -9.19, -1499.91
   12.45,    -8.27, -1349.92
   15.10,   140.80, -1500.82
   13.71,   141.72, -1350.82
  163.83,   -10.44, -1498.52
  162.44,    -9.52, -1348.53
  165.08,   139.55, -1499.42
  163.70,   140.47, -1349.43
  437.12,   436.02, -1272.40
  475.06,   468.54, -1270.90
  513.01,   501.07, -1269.41
  462.63,   407.74, -1304.79
  500.57,   440.27, -1303.30
  538.52,   472.79, -1301.81
    3.01,     1.63, -1500.00
    2.71,     1.47, -1350.00
    2.09,   151.63, -1499.83
    1.79,   151.47, -1349.84
  153.00,     2.55, -1499.69
  152.70,     2.39, -1349.69
  152.08,   152.55, -1499.53
  151.78,   152.38, -1349.53
  391.70,   426.58, -1341.25
  383.81,   423.96, -1390.56
  375.93,   421.34, -1439.86
  386.16,   377.01, -1337.74
  378.28,   374.39, -1387.04
  370.40,   371.78, -1436.35
   -9.80,    -1.55, -1499.97
   -8.82,    -1.40, -1349.97
  -10.34,   148.45, -1500.12
   -9.36,   148.60, -1350.12
  140.20,    -1.02, -1500.95
  141.18,    -0.86, -1350.95
  139.66,   148.98, -1501.10
  140.64,   149.14, -1351.10
  430.90,   431.65, -1279.55
  468.14,   444.62, -1248.80
  505.38,   457.58, -1218.06
  417.18,   395.60, -1247.73
  454.42,   408.57, -1216.99
  491.66,   421.53, -1186.24
   10.41,     1.34, -1499.96
    9.37,     1.20, -1349.97
   10.47,   151.34, -1499.83
    9.43,   151.20, -1349.83
  160.41,     1.28, -1498.92
  159.37,     1.14, -1348.93
  160.47,   151.28, -1498.79
  159.43,   151.14, -1348.79
  379.97,   425.01, -1331.97
  378.60,   443.89, -1378.25
  377.22,   462.77, -1424.52
  428.87,   415.92, -1337.14
  427.49,   434.80, -1383.41
  426.11,   453.68, -1429.69
  -14.32,    10.86, -1499.89
  -12.89,     9.77, -1349.90
  -15.02,   160.85, -1498.80
  -13.58,   159.77, -1348.81
  135.67,    11.56, -1501.32
  137.11,    10.48, -1351.33
  134.98,   161.56, -1500.23
  136.41,   160.47, -1350.24
  356.04,   434.55, -1335.87
  350.61,   444.70, -1384.52
  345.19,   454.86, -1433.18
  398.06,   409.35, -1345.81
  392.64,   419.51, -1394.47
  387.21,   429.66, -1443.12
  -12.54,    -5.66, -1499.94
  -11.29,    -5.10, -1349.94
  -12.97,   144.33, -1500.50
  -11.71,   144.90, -1350.51
  137.45,    -5.24, -1501.19
  138.71,    -4.68, -1351.20
  137.03,   144.75, -1501.76
  138.28,   145.32, -1351.76
  332.95,   375.94, -1293.53
  291.50,   362.12, -1269.23
  250.04,   348.31, -1244.93
  353.61,   390.07, -1250.25
  312.15,   376.26, -1225.95
  270.70,   362.45, -1201.65
   11.14,   -13.82, -1499.89
   10.03,   -12.43, -1349.91
   11.40,   136.18, -1501.27
   10.29,   137.56, -1351.29
  161.14,   -14.07, -1498.78
  160.02,   -12.68, -1348.79
  161.40,   135.93, -1500.16
  160.28,   137.31, -1350.17
  379.27,   398.92, -1244.74
  367.79,   427.21, -1205.14
  356.32,   455.51, -1165.55
  411.70,   433.70, -1260.19
  400.23,   461.99, -1220.59
  388.75,   490.28, -1181.00
